https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume DAI
1638190800000,2021-11-29 13:00:00,DAI/USD,1.0004,1.0009,0.9999,1.0008,5059.060541302464,5055.01652808
1638187200000,2021-11-29 12:00:00,DAI/USD,1.0001,1.0004,1.0001,1.0001,342.362288955615,342.32805615
1638183600000,2021-11-29 11:00:00,DAI/USD,1.0002,1.0005,0.99995,1.0001,280.57802607710795,280.54997108
1638180000000,2021-11-29 10:00:00,DAI/USD,1.0005,1.0007,1.0002,1.0002,403.159929242676,403.07931338000003
1638176400000,2021-11-29 09:00:00,DAI/USD,1.0002,1.0009,1.0002,1.0004,4798.547733062572,4796.62908143
1638172800000,2021-11-29 08:00:00,DAI/USD,1.0005,1.0005,1.0002,1.0002,241.318845878352,241.27059176
1638169200000,2021-11-29 07:00:00,DAI/USD,1.0003,1.0005,1.0002,1.0002,311.439517228356,311.37724178
1638165600000,2021-11-29 06:00:00,DAI/USD,1.0004,1.0008,0.9998,1.0003,16168.767851082643,16163.91867548
1638162000000,2021-11-29 05:00:00,DAI/USD,1.0006,1.0007,1.0004,1.0004,77.276494628556,77.24559639
1638158400000,2021-11-29 04:00:00,DAI/USD,1.0004,1.0008,1.0004,1.0006,205.25315464596,205.1300766
1638154800000,2021-11-29 03:00:00,DAI/USD,1.0007,1.0007,1.0004,1.0007,408.20547785373,407.9199339
1638151200000,2021-11-29 02:00:00,DAI/USD,1.0007,1.0007,1.0005,1.0005,241.88891700649498,241.76803299
1638147600000,2021-11-29 01:00:00,DAI/USD,1.0006,1.0007,1.0005,1.0007,229.71429926821799,229.55361174
1638144000000,2021-11-29 00:00:00,DAI/USD,1.0007,1.0007,1.0003,1.0005,433.73354815488,433.51678976
1638140400000,2021-11-28 23:00:00,DAI/USD,1.0006,1.001,1.0003,1.0004,539.8254510929,539.6096072500001
1638136800000,2021-11-28 22:00:00,DAI/USD,1.0009,1.0011,1.0004,1.0005,802.13182600026,801.73096052
1638133200000,2021-11-28 21:00:00,DAI/USD,1.001,1.0011,1.0009,1.0009,827.971227801375,827.22672375
1638129600000,2021-11-28 20:00:00,DAI/USD,1.001,1.001,1.0009,1.0009,1208.6224012172438,1207.53561916
1638126000000,2021-11-28 19:00:00,DAI/USD,1.0009,1.0012,1.0009,1.0011,1126.4394461867191,1125.20172429
1638122400000,2021-11-28 18:00:00,DAI/USD,1.0009,1.0012,1.0009,1.0011,837.1244051080771,836.20458007
1638118800000,2021-11-28 17:00:00,DAI/USD,1.0009,1.001,1.0009,1.0009,931.2250340466169,930.38768513
1638115200000,2021-11-28 16:00:00,DAI/USD,1.001,1.001,1.0009,1.0009,1327.436448066568,1326.24282952
1638111600000,2021-11-28 15:00:00,DAI/USD,1.001,1.001,1.0009,1.0009,1125.82431928965,1124.8119885
1638108000000,2021-11-28 14:00:00,DAI/USD,1.0013,1.0013,1.0009,1.0009,1009.882581073618,1008.97450402
1638104400000,2021-11-28 13:00:00,DAI/USD,1.0012,1.0013,1.0011,1.0011,10856.8595283858,10844.930105270001
1638100800000,2021-11-28 12:00:00,DAI/USD,1.0012,1.0013,1.0012,1.0012,2301.1377142503925,2298.37965866
1638097200000,2021-11-28 11:00:00,DAI/USD,1.0014,1.0015,1.0012,1.0012,12711.908235714849,12696.67222904
1638093600000,2021-11-28 10:00:00,DAI/USD,1.0012,1.0014,1.0012,1.0012,784.704015569244,783.76349937
1638090000000,2021-11-28 09:00:00,DAI/USD,1.0012,1.0191,1.0012,1.0013,139766.89071044748,139585.4296519
1638086400000,2021-11-28 08:00:00,DAI/USD,1.0006,1.0079,1.0004,1.0012,58507.8841703817,58437.75885975
1638082800000,2021-11-28 07:00:00,DAI/USD,1.0008,1.0018,1.0002,1.0003,7655.2638258706465,7652.96793549
1638079200000,2021-11-28 06:00:00,DAI/USD,1.0002,1.0007,1.0002,1.0003,1184.777631061311,1184.4223043700001
1638075600000,2021-11-28 05:00:00,DAI/USD,1.0003,1.0007,1.0002,1.0002,819.112019435958,818.94822979
1638072000000,2021-11-28 04:00:00,DAI/USD,1.0006,1.0007,1.0002,1.0002,244.516315374378,244.46742189
1638068400000,2021-11-28 03:00:00,DAI/USD,1.0007,1.0007,1.0002,1.0002,218.380980202548,218.33731274
1638064800000,2021-11-28 02:00:00,DAI/USD,1.0006,1.0013,1.0003,1.0003,533.112322871142,532.95243714
1638061200000,2021-11-28 01:00:00,DAI/USD,1.0009,1.001,1.0005,1.0006,309.576400849834,309.39076639
1638057600000,2021-11-28 00:00:00,DAI/USD,1.0009,1.0015,1.0006,1.0006,7792.282192365953,7787.60962659
1638054000000,2021-11-27 23:00:00,DAI/USD,1.0005,1.0016,1.0005,1.0015,25942.86677852357,25904.01076238
1638050400000,2021-11-27 22:00:00,DAI/USD,1.0007,1.0016,1.0002,1.0005,6600.808156620959,6597.50940192
1638046800000,2021-11-27 21:00:00,DAI/USD,1.0003,1.0016,1.0003,1.0007,1256.155510451676,1255.2768166800001
1638043200000,2021-11-27 20:00:00,DAI/USD,1.0003,1.0007,1.0003,1.0006,267.138568819074,266.97838179
1638039600000,2021-11-27 19:00:00,DAI/USD,1.0007,1.0007,1.0003,1.0006,388.10429397261794,387.87157103
1638036000000,2021-11-27 18:00:00,DAI/USD,1.0003,1.0012,1.0003,1.0003,415.01307967392694,414.88861309
1638032400000,2021-11-27 17:00:00,DAI/USD,1.0003,1.0006,1.0003,1.0006,292.74265582933594,292.56711556
1638028800000,2021-11-27 16:00:00,DAI/USD,1.0008,1.0062,1.0002,1.0003,74697.71401242568,74675.31141899999
1638025200000,2021-11-27 15:00:00,DAI/USD,1.0009,1.001,1.0007,1.0007,717.296800150534,716.79504362
1638021600000,2021-11-27 14:00:00,DAI/USD,1.0009,1.0013,1.0007,1.0008,1550.469035801664,1549.22965208
1638018000000,2021-11-27 13:00:00,DAI/USD,1.0003,1.005,1.0002,1.0008,353825.54879139573,353542.7146197
1638014400000,2021-11-27 12:00:00,DAI/USD,1.0003,1.0013,1.0002,1.0003,64363.018694503946,64343.71557983
1638010800000,2021-11-27 11:00:00,DAI/USD,1.0003,1.0006,1.0002,1.0005,1358.3481843648449,1357.66934969
1638007200000,2021-11-27 10:00:00,DAI/USD,1.0003,1.0006,1.0003,1.0005,52.594342899435,52.56805887
1638003600000,2021-11-27 09:00:00,DAI/USD,1.0005,1.0017,1.0002,1.0003,9827.740404179887,9824.79296629
1638000000000,2021-11-27 08:00:00,DAI/USD,1.0003,1.0005,1.0002,1.0002,178.140181982214,178.10456107
1637996400000,2021-11-27 07:00:00,DAI/USD,1.0004,1.0004,1.0002,1.0004,48.505316548872,48.48592218
1637992800000,2021-11-27 06:00:00,DAI/USD,1.0004,1.0004,1.0002,1.0002,55.360596415302005,55.349526510000004
1637989200000,2021-11-27 05:00:00,DAI/USD,1.0002,1.0005,1.0002,1.0005,138.985522882425,138.91606485
1637985600000,2021-11-27 04:00:00,DAI/USD,1.0003,1.0003,1.0001,1.0001,116.77731789413299,116.76564133
1637982000000,2021-11-27 03:00:00,DAI/USD,1.0003,1.0004,1.0001,1.0003,241.945420287529,241.87285843
1637978400000,2021-11-27 02:00:00,DAI/USD,1.0002,1.0004,1.0,1.0001,220.68967586091,220.6676091
1637974800000,2021-11-27 01:00:00,DAI/USD,0.99991,1.0003,0.99957,1.0,310.43965515,310.43965515
1637971200000,2021-11-27 00:00:00,DAI/USD,0.99971,1.0005,0.99971,0.99991,368.83403456906416,368.86723262
1637967600000,2021-11-26 23:00:00,DAI/USD,1.0001,1.0002,0.9988,1.0001,715.339912348551,715.26838551
1637964000000,2021-11-26 22:00:00,DAI/USD,0.99963,1.0001,0.99963,0.99964,330.32841324525197,330.4473743
1637960400000,2021-11-26 21:00:00,DAI/USD,0.99999,1.0001,0.99963,0.99963,1203.248205808201,1203.6935724300001
1637956800000,2021-11-26 20:00:00,DAI/USD,0.99999,1.0,0.99963,0.99999,320.15120139597065,320.15440294
1637953200000,2021-11-26 19:00:00,DAI/USD,1.0002,1.0002,0.99963,0.99963,348.6341012068791,348.76314357
1637949600000,2021-11-26 18:00:00,DAI/USD,1.0001,1.0002,0.99962,0.99963,460.2507467020713,460.42110250999997
1637946000000,2021-11-26 17:00:00,DAI/USD,1.0003,1.0003,0.99961,1.0001,362.218072565438,362.18185438
1637942400000,2021-11-26 16:00:00,DAI/USD,1.0002,1.0004,1.0001,1.0001,227.45121894761002,227.4284761
