https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume REP
1556452800,2019-04-28 12:00:00,REP/USD,23.0,23.0,23.0,23.0,0.0,0.0
1556449200,2019-04-28 11:00:00,REP/USD,23.0,23.0,23.0,23.0,0.0,0.0
1556445600,2019-04-28 10:00:00,REP/USD,23.0,23.0,23.0,23.0,0.0,0.0
1556442000,2019-04-28 09:00:00,REP/USD,23.0,23.0,23.0,23.0,0.0,0.0
1556438400,2019-04-28 08:00:00,REP/USD,23.0,23.0,23.0,23.0,0.0,0.0
1556434800,2019-04-28 07:00:00,REP/USD,23.0,23.0,23.0,23.0,0.0,0.0
1556431200,2019-04-28 06:00:00,REP/USD,23.0,23.0,23.0,23.0,0.0,0.0
1556427600,2019-04-28 05:00:00,REP/USD,23.05,23.05,23.0,23.0,92.0,4.0
1556424000,2019-04-28 04:00:00,REP/USD,22.99,23.05,22.99,23.05,152.0,6.596
1556420400,2019-04-28 03:00:00,REP/USD,22.32,22.99,22.32,22.99,206.23,9.011
1556416800,2019-04-28 02:00:00,REP/USD,22.32,22.32,22.32,22.32,0.0,0.0
1556413200,2019-04-28 01:00:00,REP/USD,22.32,22.32,22.32,22.32,0.0,0.0
1556409600,2019-04-28 00:00:00,REP/USD,22.32,22.32,22.32,22.32,0.0,0.0
1556406000,2019-04-27 23:00:00,REP/USD,22.32,22.32,22.32,22.32,0.0,0.0
1556402400,2019-04-27 22:00:00,REP/USD,22.32,22.32,22.32,22.32,0.0,0.0
1556398800,2019-04-27 21:00:00,REP/USD,22.32,22.32,22.32,22.32,0.0,0.0
1556395200,2019-04-27 20:00:00,REP/USD,22.32,22.32,22.32,22.32,0.0,0.0
1556391600,2019-04-27 19:00:00,REP/USD,22.32,22.32,22.32,22.32,0.0,0.0
1556388000,2019-04-27 18:00:00,REP/USD,22.32,22.32,22.32,22.32,0.0,0.0
1556384400,2019-04-27 17:00:00,REP/USD,22.32,22.32,22.32,22.32,0.0,0.0
1556380800,2019-04-27 16:00:00,REP/USD,22.16,22.32,22.16,22.32,67.79,3.037
1556377200,2019-04-27 15:00:00,REP/USD,22.16,22.16,22.16,22.16,0.0,0.0
1556373600,2019-04-27 14:00:00,REP/USD,22.16,22.16,22.16,22.16,0.0,0.0
1556370000,2019-04-27 13:00:00,REP/USD,22.16,22.16,22.16,22.16,0.0,0.0
1556366400,2019-04-27 12:00:00,REP/USD,22.07,22.16,22.07,22.16,37.18,1.682
1556362800,2019-04-27 11:00:00,REP/USD,22.07,22.07,22.07,22.07,0.0,0.0
1556359200,2019-04-27 10:00:00,REP/USD,22.07,22.07,22.07,22.07,0.0,0.0
1556355600,2019-04-27 09:00:00,REP/USD,22.07,22.07,22.07,22.07,0.0,0.0
1556352000,2019-04-27 08:00:00,REP/USD,22.07,22.07,22.07,22.07,0.0,0.0
1556348400,2019-04-27 07:00:00,REP/USD,22.33,22.33,22.07,22.07,44.1,1.998
1556344800,2019-04-27 06:00:00,REP/USD,22.33,22.33,22.33,22.33,0.0,0.0
1556341200,2019-04-27 05:00:00,REP/USD,22.46,22.46,22.33,22.33,5.004,0.2241
1556337600,2019-04-27 04:00:00,REP/USD,22.46,22.46,22.46,22.46,0.0,0.0
1556334000,2019-04-27 03:00:00,REP/USD,22.78,22.78,22.46,22.46,40.63,1.809
1556330400,2019-04-27 02:00:00,REP/USD,22.62,22.78,22.62,22.78,145.23,6.376
1556326800,2019-04-27 01:00:00,REP/USD,22.55,22.62,22.55,22.62,22.4,0.99
1556323200,2019-04-27 00:00:00,REP/USD,22.55,22.55,22.55,22.55,0.0,0.0
1556319600,2019-04-26 23:00:00,REP/USD,22.55,22.55,22.55,22.55,0.0,0.0
1556316000,2019-04-26 22:00:00,REP/USD,22.55,22.55,22.55,22.55,0.0,0.0
1556312400,2019-04-26 21:00:00,REP/USD,22.55,22.55,22.55,22.55,0.0,0.0
1556308800,2019-04-26 20:00:00,REP/USD,22.55,22.55,22.55,22.55,0.0,0.0
