https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume AID
1543500000,2018-11-29 14:00:00,AID/USD,0.02,0.02,0.02,0.02,0.0,0.0
1543496400,2018-11-29 13:00:00,AID/USD,0.02258,0.02258,0.02,0.02,8.755,437.77
1543492800,2018-11-29 12:00:00,AID/USD,0.0198,0.02,0.0198,0.02,41.44,2072.13
1543489200,2018-11-29 11:00:00,AID/USD,0.02311,0.0232,0.0198,0.0198,214.42,10000.0
1543485600,2018-11-29 10:00:00,AID/USD,0.02311,0.02311,0.02311,0.02311,0.0,0.0
1543482000,2018-11-29 09:00:00,AID/USD,0.02311,0.02311,0.02311,0.02311,0.0,0.0
1543478400,2018-11-29 08:00:00,AID/USD,0.02311,0.02311,0.02311,0.02311,0.0,0.0
1543474800,2018-11-29 07:00:00,AID/USD,0.02311,0.02683,0.02311,0.02311,24.2,969.03
1543471200,2018-11-29 06:00:00,AID/USD,0.02311,0.02311,0.02311,0.02311,0.0,0.0
1543467600,2018-11-29 05:00:00,AID/USD,0.02311,0.02311,0.02311,0.02311,0.0,0.0
1543464000,2018-11-29 04:00:00,AID/USD,0.02311,0.02311,0.02311,0.02311,0.0,0.0
1543460400,2018-11-29 03:00:00,AID/USD,0.02311,0.02311,0.02311,0.02311,0.0,0.0
1543456800,2018-11-29 02:00:00,AID/USD,0.02314,0.02719,0.02311,0.02311,26.43,1058.14
1543453200,2018-11-29 01:00:00,AID/USD,0.02314,0.02314,0.02314,0.02314,0.0,0.0
1543449600,2018-11-29 00:00:00,AID/USD,0.02314,0.02314,0.02314,0.02314,0.0,0.0
1543446000,2018-11-28 23:00:00,AID/USD,0.0241,0.0241,0.02314,0.02314,38.49,1662.9
1543442400,2018-11-28 22:00:00,AID/USD,0.0241,0.0241,0.0241,0.0241,0.0,0.0
1543438800,2018-11-28 21:00:00,AID/USD,0.0241,0.0241,0.0241,0.0241,0.0,0.0
1543435200,2018-11-28 20:00:00,AID/USD,0.0241,0.0241,0.0241,0.0241,0.0,0.0
1543431600,2018-11-28 19:00:00,AID/USD,0.0241,0.0241,0.0241,0.0241,0.0,0.0
1543428000,2018-11-28 18:00:00,AID/USD,0.0241,0.0241,0.0241,0.0241,0.0,0.0
1543424400,2018-11-28 17:00:00,AID/USD,0.0241,0.0241,0.0241,0.0241,0.0,0.0
1543420800,2018-11-28 16:00:00,AID/USD,0.0241,0.0241,0.0241,0.0241,0.0,0.0
1543417200,2018-11-28 15:00:00,AID/USD,0.024,0.0241,0.024,0.0241,56.33,2343.18
1543413600,2018-11-28 14:00:00,AID/USD,0.02897,0.02897,0.024,0.024,11.65,485.23
1543410000,2018-11-28 13:00:00,AID/USD,0.02897,0.02897,0.02897,0.02897,0.0,0.0
1543406400,2018-11-28 12:00:00,AID/USD,0.02897,0.02897,0.02897,0.02897,0.0,0.0
1543402800,2018-11-28 11:00:00,AID/USD,0.02897,0.02897,0.02897,0.02897,0.0,0.0
1543399200,2018-11-28 10:00:00,AID/USD,0.02897,0.02897,0.02897,0.02897,0.0,0.0
1543395600,2018-11-28 09:00:00,AID/USD,0.02897,0.02897,0.02897,0.02897,0.0,0.0
1543392000,2018-11-28 08:00:00,AID/USD,0.02897,0.02897,0.02897,0.02897,0.0,0.0
1543388400,2018-11-28 07:00:00,AID/USD,0.02897,0.02897,0.02897,0.02897,0.0,0.0
1543384800,2018-11-28 06:00:00,AID/USD,0.02897,0.02897,0.02897,0.02897,0.0,0.0
1543381200,2018-11-28 05:00:00,AID/USD,0.02897,0.02897,0.02897,0.02897,0.0,0.0
1543377600,2018-11-28 04:00:00,AID/USD,0.02897,0.02897,0.02897,0.02897,0.0,0.0
1543374000,2018-11-28 03:00:00,AID/USD,0.02897,0.02897,0.02897,0.02897,0.0,0.0
1543370400,2018-11-28 02:00:00,AID/USD,0.02897,0.02897,0.02897,0.02897,0.0,0.0
1543366800,2018-11-28 01:00:00,AID/USD,0.02897,0.02897,0.02897,0.02897,0.0,0.0
1543363200,2018-11-28 00:00:00,AID/USD,0.02897,0.02897,0.02897,0.02897,0.0,0.0
1543359600,2018-11-27 23:00:00,AID/USD,0.02897,0.02897,0.02897,0.02897,0.0,0.0
1543356000,2018-11-27 22:00:00,AID/USD,0.02897,0.02897,0.02897,0.02897,0.0,0.0
1543352400,2018-11-27 21:00:00,AID/USD,0.02897,0.02897,0.02897,0.02897,0.0,0.0
1543348800,2018-11-27 20:00:00,AID/USD,0.02897,0.02897,0.02897,0.02897,0.0,0.0
1543345200,2018-11-27 19:00:00,AID/USD,0.02897,0.02897,0.02897,0.02897,0.0,0.0
1543341600,2018-11-27 18:00:00,AID/USD,0.02897,0.02897,0.02897,0.02897,0.0,0.0
1543338000,2018-11-27 17:00:00,AID/USD,0.02897,0.02897,0.02897,0.02897,0.0,0.0
1543334400,2018-11-27 16:00:00,AID/USD,0.02897,0.02897,0.02897,0.02897,0.0,0.0
1543330800,2018-11-27 15:00:00,AID/USD,0.02317,0.02897,0.02317,0.02897,259.12,10369.15
1543327200,2018-11-27 14:00:00,AID/USD,0.02317,0.02317,0.02317,0.02317,0.0,0.0
1543323600,2018-11-27 13:00:00,AID/USD,0.02317,0.02317,0.02317,0.02317,0.0,0.0
1543320000,2018-11-27 12:00:00,AID/USD,0.02317,0.02317,0.02317,0.02317,0.0,0.0
1543316400,2018-11-27 11:00:00,AID/USD,0.02317,0.02317,0.02317,0.02317,0.0,0.0
1543312800,2018-11-27 10:00:00,AID/USD,0.02317,0.02317,0.02317,0.02317,0.0,0.0
1543309200,2018-11-27 09:00:00,AID/USD,0.02317,0.02317,0.02317,0.02317,0.0,0.0
1543305600,2018-11-27 08:00:00,AID/USD,0.02317,0.02317,0.02317,0.02317,0.0,0.0
1543302000,2018-11-27 07:00:00,AID/USD,0.02317,0.02317,0.02317,0.02317,0.0,0.0
1543298400,2018-11-27 06:00:00,AID/USD,0.02317,0.02317,0.02317,0.02317,0.0,0.0
1543294800,2018-11-27 05:00:00,AID/USD,0.02317,0.02317,0.02317,0.02317,0.0,0.0
1543291200,2018-11-27 04:00:00,AID/USD,0.02317,0.02317,0.02317,0.02317,0.0,0.0
1543287600,2018-11-27 03:00:00,AID/USD,0.02317,0.02317,0.02317,0.02317,0.0,0.0
1543284000,2018-11-27 02:00:00,AID/USD,0.02314,0.02317,0.02314,0.02317,16.64,718.0
1543280400,2018-11-27 01:00:00,AID/USD,0.02314,0.02314,0.02314,0.02314,0.0,0.0
1543276800,2018-11-27 00:00:00,AID/USD,0.02314,0.02314,0.02314,0.02314,0.0,0.0
1543273200,2018-11-26 23:00:00,AID/USD,0.02314,0.02314,0.02314,0.02314,0.0,0.0
1543269600,2018-11-26 22:00:00,AID/USD,0.02314,0.02314,0.02314,0.02314,0.0,0.0
1543266000,2018-11-26 21:00:00,AID/USD,0.02314,0.02314,0.02314,0.02314,0.0,0.0
1543262400,2018-11-26 20:00:00,AID/USD,0.02314,0.02314,0.02314,0.02314,0.0,0.0
1543258800,2018-11-26 19:00:00,AID/USD,0.02317,0.02317,0.02314,0.02314,44.41,1919.07
1543255200,2018-11-26 18:00:00,AID/USD,0.02317,0.02317,0.02317,0.02317,0.0,0.0
1543251600,2018-11-26 17:00:00,AID/USD,0.02317,0.02317,0.02317,0.02317,0.0,0.0
1543248000,2018-11-26 16:00:00,AID/USD,0.02317,0.02317,0.02317,0.02317,0.0,0.0
1543244400,2018-11-26 15:00:00,AID/USD,0.02317,0.02317,0.02317,0.02317,0.0,0.0
1543240800,2018-11-26 14:00:00,AID/USD,0.02317,0.02317,0.02317,0.02317,0.0,0.0
1543237200,2018-11-26 13:00:00,AID/USD,0.02317,0.02317,0.02317,0.02317,0.0,0.0
1543233600,2018-11-26 12:00:00,AID/USD,0.02317,0.02317,0.02317,0.02317,0.0,0.0
1543230000,2018-11-26 11:00:00,AID/USD,0.02317,0.02317,0.02317,0.02317,0.0,0.0
1543226400,2018-11-26 10:00:00,AID/USD,0.02317,0.02317,0.02317,0.02317,0.0,0.0
1543222800,2018-11-26 09:00:00,AID/USD,0.021,0.02317,0.021,0.02317,54.24,2340.85
1543219200,2018-11-26 08:00:00,AID/USD,0.0181,0.0181,0.0181,0.0181,0.0,0.0
1543215600,2018-11-26 07:00:00,AID/USD,0.0181,0.0181,0.0181,0.0181,0.0,0.0
1543212000,2018-11-26 06:00:00,AID/USD,0.0181,0.0181,0.0181,0.0181,0.0,0.0
1543208400,2018-11-26 05:00:00,AID/USD,0.0181,0.0181,0.0181,0.0181,0.0,0.0
1543204800,2018-11-26 04:00:00,AID/USD,0.0181,0.0181,0.0181,0.0181,0.0,0.0
1543201200,2018-11-26 03:00:00,AID/USD,0.0181,0.0181,0.0181,0.0181,0.0,0.0
1543197600,2018-11-26 02:00:00,AID/USD,0.0181,0.0181,0.0181,0.0181,0.0,0.0
1543194000,2018-11-26 01:00:00,AID/USD,0.0181,0.0181,0.0181,0.0181,0.0,0.0
1543190400,2018-11-26 00:00:00,AID/USD,0.0181,0.0181,0.0181,0.0181,0.0,0.0
1543186800,2018-11-25 23:00:00,AID/USD,0.0181,0.0181,0.0181,0.0181,0.0,0.0
1543183200,2018-11-25 22:00:00,AID/USD,0.0181,0.0181,0.0181,0.0181,0.0,0.0
1543179600,2018-11-25 21:00:00,AID/USD,0.0181,0.0181,0.0181,0.0181,0.0,0.0
1543176000,2018-11-25 20:00:00,AID/USD,0.0181,0.0181,0.0181,0.0181,0.0,0.0
1543172400,2018-11-25 19:00:00,AID/USD,0.0181,0.0181,0.0181,0.0181,0.0,0.0
1543168800,2018-11-25 18:00:00,AID/USD,0.0181,0.0181,0.0181,0.0181,0.0,0.0
1543165200,2018-11-25 17:00:00,AID/USD,0.0181,0.0181,0.0181,0.0181,0.0,0.0
1543161600,2018-11-25 16:00:00,AID/USD,0.0181,0.0181,0.0181,0.0181,0.0,0.0
1543158000,2018-11-25 15:00:00,AID/USD,0.0181,0.0181,0.0181,0.0181,0.0,0.0
1543154400,2018-11-25 14:00:00,AID/USD,0.0181,0.0181,0.0181,0.0181,0.0,0.0
1543150800,2018-11-25 13:00:00,AID/USD,0.0181,0.0181,0.0181,0.0181,0.0,0.0
1543147200,2018-11-25 12:00:00,AID/USD,0.02001,0.02001,0.0181,0.0181,235.16,12992.28
1543143600,2018-11-25 11:00:00,AID/USD,0.02783,0.02783,0.02783,0.02783,0.0,0.0
1543140000,2018-11-25 10:00:00,AID/USD,0.02783,0.02783,0.02783,0.02783,0.0,0.0
1543136400,2018-11-25 09:00:00,AID/USD,0.02783,0.02783,0.02783,0.02783,0.0,0.0
1543132800,2018-11-25 08:00:00,AID/USD,0.02783,0.02783,0.02783,0.02783,0.0,0.0
1543129200,2018-11-25 07:00:00,AID/USD,0.02783,0.02783,0.02783,0.02783,0.0,0.0
1543125600,2018-11-25 06:00:00,AID/USD,0.02783,0.02783,0.02783,0.02783,0.0,0.0
1543122000,2018-11-25 05:00:00,AID/USD,0.02783,0.02783,0.02783,0.02783,0.0,0.0
1543118400,2018-11-25 04:00:00,AID/USD,0.02783,0.02783,0.02783,0.02783,0.0,0.0
1543114800,2018-11-25 03:00:00,AID/USD,0.02783,0.02783,0.02783,0.02783,0.0,0.0
1543111200,2018-11-25 02:00:00,AID/USD,0.02783,0.02783,0.02783,0.02783,0.0,0.0
1543107600,2018-11-25 01:00:00,AID/USD,0.02783,0.02783,0.02783,0.02783,0.0,0.0
1543104000,2018-11-25 00:00:00,AID/USD,0.02783,0.02783,0.02783,0.02783,0.0,0.0
1543100400,2018-11-24 23:00:00,AID/USD,0.02783,0.02783,0.02783,0.02783,0.0,0.0
1543096800,2018-11-24 22:00:00,AID/USD,0.02783,0.02783,0.02783,0.02783,0.0,0.0
1543093200,2018-11-24 21:00:00,AID/USD,0.02783,0.02783,0.02783,0.02783,0.0,0.0
1543089600,2018-11-24 20:00:00,AID/USD,0.02783,0.02783,0.02783,0.02783,0.0,0.0
1543086000,2018-11-24 19:00:00,AID/USD,0.02783,0.02783,0.02783,0.02783,0.0,0.0
1543082400,2018-11-24 18:00:00,AID/USD,0.02783,0.02783,0.02783,0.02783,0.0,0.0
1543078800,2018-11-24 17:00:00,AID/USD,0.02783,0.02783,0.02783,0.02783,0.0,0.0
1543075200,2018-11-24 16:00:00,AID/USD,0.02783,0.02783,0.02783,0.02783,0.0,0.0
1543071600,2018-11-24 15:00:00,AID/USD,0.02783,0.02783,0.02783,0.02783,0.0,0.0
1543068000,2018-11-24 14:00:00,AID/USD,0.02783,0.02783,0.02783,0.02783,0.0,0.0
1543064400,2018-11-24 13:00:00,AID/USD,0.02783,0.02783,0.02783,0.02783,0.0,0.0
1543060800,2018-11-24 12:00:00,AID/USD,0.02783,0.02783,0.02783,0.02783,0.0,0.0
1543057200,2018-11-24 11:00:00,AID/USD,0.02783,0.02783,0.02783,0.02783,0.0,0.0
1543053600,2018-11-24 10:00:00,AID/USD,0.02783,0.02783,0.02783,0.02783,0.0,0.0
1543050000,2018-11-24 09:00:00,AID/USD,0.02783,0.02783,0.02783,0.02783,0.0,0.0
1543046400,2018-11-24 08:00:00,AID/USD,0.02783,0.02783,0.02783,0.02783,0.0,0.0
1543042800,2018-11-24 07:00:00,AID/USD,0.02783,0.02783,0.02783,0.02783,0.0,0.0
1543039200,2018-11-24 06:00:00,AID/USD,0.02783,0.02783,0.02783,0.02783,0.0,0.0
1543035600,2018-11-24 05:00:00,AID/USD,0.02783,0.02783,0.02783,0.02783,0.0,0.0
1543032000,2018-11-24 04:00:00,AID/USD,0.02783,0.02783,0.02783,0.02783,0.0,0.0
1543028400,2018-11-24 03:00:00,AID/USD,0.02783,0.02783,0.02783,0.02783,0.0,0.0
1543024800,2018-11-24 02:00:00,AID/USD,0.02783,0.02783,0.02783,0.02783,0.0,0.0
1543021200,2018-11-24 01:00:00,AID/USD,0.02783,0.02783,0.02783,0.02783,0.0,0.0
1543017600,2018-11-24 00:00:00,AID/USD,0.02783,0.02783,0.02783,0.02783,0.0,0.0
1543014000,2018-11-23 23:00:00,AID/USD,0.02783,0.02783,0.02783,0.02783,0.0,0.0
1543010400,2018-11-23 22:00:00,AID/USD,0.02783,0.02783,0.02783,0.02783,0.0,0.0
1543006800,2018-11-23 21:00:00,AID/USD,0.02783,0.02783,0.02783,0.02783,0.0,0.0
1543003200,2018-11-23 20:00:00,AID/USD,0.01804,0.02783,0.01804,0.02783,22.27,821.98
1542999600,2018-11-23 19:00:00,AID/USD,0.022,0.022,0.01804,0.01804,26.64,1476.83
1542996000,2018-11-23 18:00:00,AID/USD,0.022,0.022,0.022,0.022,0.0,0.0
1542992400,2018-11-23 17:00:00,AID/USD,0.022,0.022,0.022,0.022,135.27,6148.17
1542988800,2018-11-23 16:00:00,AID/USD,0.022,0.022,0.022,0.022,0.0,0.0
1542985200,2018-11-23 15:00:00,AID/USD,0.022,0.022,0.022,0.022,0.0,0.0
1542981600,2018-11-23 14:00:00,AID/USD,0.022,0.022,0.022,0.022,0.0,0.0
1542978000,2018-11-23 13:00:00,AID/USD,0.027,0.027,0.022,0.022,11.44,520.02
1542974400,2018-11-23 12:00:00,AID/USD,0.027,0.027,0.027,0.027,0.0,0.0
1542970800,2018-11-23 11:00:00,AID/USD,0.027,0.027,0.027,0.027,0.0,0.0
1542967200,2018-11-23 10:00:00,AID/USD,0.027,0.027,0.027,0.027,0.0,0.0
1542963600,2018-11-23 09:00:00,AID/USD,0.027,0.027,0.027,0.027,0.0,0.0
1542960000,2018-11-23 08:00:00,AID/USD,0.027,0.027,0.027,0.027,0.0,0.0
1542956400,2018-11-23 07:00:00,AID/USD,0.027,0.027,0.027,0.027,0.0,0.0
1542952800,2018-11-23 06:00:00,AID/USD,0.027,0.027,0.027,0.027,0.0,0.0
1542949200,2018-11-23 05:00:00,AID/USD,0.027,0.027,0.027,0.027,0.0,0.0
1542945600,2018-11-23 04:00:00,AID/USD,0.027,0.027,0.027,0.027,0.0,0.0
1542942000,2018-11-23 03:00:00,AID/USD,0.027,0.027,0.027,0.027,0.0,0.0
1542938400,2018-11-23 02:00:00,AID/USD,0.027,0.027,0.027,0.027,0.0,0.0
1542934800,2018-11-23 01:00:00,AID/USD,0.027,0.027,0.027,0.027,0.0,0.0
1542931200,2018-11-23 00:00:00,AID/USD,0.027,0.027,0.027,0.027,0.0,0.0
1542927600,2018-11-22 23:00:00,AID/USD,0.027,0.027,0.027,0.027,0.0,0.0
1542924000,2018-11-22 22:00:00,AID/USD,0.027,0.027,0.027,0.027,0.0,0.0
1542920400,2018-11-22 21:00:00,AID/USD,0.027,0.027,0.027,0.027,0.0,0.0
1542916800,2018-11-22 20:00:00,AID/USD,0.027,0.027,0.027,0.027,0.0,0.0
1542913200,2018-11-22 19:00:00,AID/USD,0.027,0.027,0.027,0.027,0.0,0.0
1542909600,2018-11-22 18:00:00,AID/USD,0.027,0.027,0.027,0.027,0.0,0.0
1542906000,2018-11-22 17:00:00,AID/USD,0.027,0.027,0.027,0.027,0.0,0.0
1542902400,2018-11-22 16:00:00,AID/USD,0.027,0.027,0.027,0.027,0.0,0.0
